,Title,Price,Scraped_Time
0,A Light in the Attic,51.77,07-08-26 15:09:40
1,Tipping the Velvet,53.74,07-08-26 15:09:40
2,Soumission,50.1,07-08-26 15:09:40
3,Sharp Objects,47.82,07-08-26 15:09:40
4,Sapiens: A Brief History of Humankind,54.23,07-08-26 15:09:40
5,The Requiem Red,22.65,07-08-26 15:09:40
6,The Dirty Little Secrets of Getting Your Dream Job,33.34,07-08-26 15:09:40
7,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,07-08-26 15:09:40
8,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,07-08-26 15:09:40
9,The Black Maria,52.15,07-08-26 15:09:40
10,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,07-08-26 15:09:40
11,Shakespeare's Sonnets,20.66,07-08-26 15:09:40
12,Set Me Free,17.46,07-08-26 15:09:40
13,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,07-08-26 15:09:40
14,Rip it Up and Start Again,35.02,07-08-26 15:09:40
15,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,07-08-26 15:09:40
16,Olio,23.88,07-08-26 15:09:40
17,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,07-08-26 15:09:40
18,Libertarianism for Beginners,51.33,07-08-26 15:09:40
19,It's Only the Himalayas,45.17,07-08-26 15:09:40
20,In Her Wake,12.84,07-08-26 15:09:41
21,How Music Works,37.32,07-08-26 15:09:41
22,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,07-08-26 15:09:41
23,Chase Me (Paris Nights #2),25.27,07-08-26 15:09:41
24,Black Dust,34.53,07-08-26 15:09:41
25,Birdsong: A Story in Pictures,54.64,07-08-26 15:09:41
26,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,07-08-26 15:09:41
27,Aladdin and His Wonderful Lamp,53.13,07-08-26 15:09:41
28,Worlds Elsewhere: Journeys Around Shakespeare’s Globe,40.3,07-08-26 15:09:41
29,Wall and Piece,44.18,07-08-26 15:09:41
30,The Four Agreements: A Practical Guide to Personal Freedom,17.66,07-08-26 15:09:41
